 Vendor,Fund,Check #,Date,Amount
HORIZON,SBL - DOWNTOWN,579277,2026-04-09T00:00:00.000,71.06
HORIZON,SBL - DOWNTOWN,579277,2026-04-09T00:00:00.000,2.38
HORIZON,SBL - DOWNTOWN,579277,2026-04-09T00:00:00.000,172.32
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,-6.06
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,91.11
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,78.23
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,127.66
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,103.43
MECHANICAL SERVICES LLC,GENERAL FUND,579363,2026-04-09T00:00:00.000,32082.11
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,65.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,52.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,52.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,52.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,52.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,65.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,65.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,65.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,65.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,75.00
D-MAN-BURLY SYSTEMS INC,GENERAL FUND,579308,2026-04-09T00:00:00.000,65.00
